ma_vt,ma_vt2,gia_nt2
KGH03009700     ,KG100HCVTU      ,7066000
KGH03010601     ,KG19A3VTU       ,5450000
KGH03012801     ,KG100HKVTU      ,7800000
KGH03012801     ,KG100HKVTU      ,10351000
KGH03013400     ,KG10A4VTU       ,7300000
KGH03014400     ,KG10G5VTU       ,5601000
KGH03015700     ,KG3500AVTU      ,5200000
KGH03015700     ,KG3500AVTU      ,5897970
KGH03015700     ,KG3500AVTU      ,6776000
KGH03016700     ,KG100MED        ,9230000
KGH03016900     ,KG-08G4VTU      ,0
KGH03017100     ,KG100ES         ,8361000
KGH03021800     ,KG100ES1        ,7480000
KGH03022300     ,KG10A6S         ,7125000
KGW44009500     ,KG266NC2        ,7000000
KGW44009600     ,KG328NC2        ,8000000
KGW44010100     ,KG409CT2        ,13400000
KGW44010100     ,KG409CT2        ,14762000
KGW44010700     ,KG268DM2        ,0
KGW44011300     ,KG168NC1        ,5000000
KGW44011300     ,KG168NC1        ,5511000
KGW44011800     ,KG498C2         ,9460000
KGW44012700     ,KG498KX2        ,10769000
KPG22034500     ,KPG22034500     ,7362300
SPH0310400600   ,SPH0310400600   ,280000
KGB47000300     ,KG6100          ,3300000
KGB47000400     ,KG6101          ,4477000
KGB47000500     ,KG6102          ,4180000
KGB47001900     ,KG6211          ,2050000
KGB47002200     ,KG6115          ,3630000
KGB47002600     ,KG6105N         ,3872000
KGB48001000     ,KG6301          ,430000
KGB48001000     ,KG6301          ,473000
KGB48002800     ,KG6305N         ,620000
KGB49000100     ,KG6400          ,2150000
KGE05001600     ,KG60            ,2550000
KGE05003200     ,KG665Y          ,2200000
KGE05003400     ,KG664H          ,1980000
KGE05004800     ,KG816N          ,2310000
KGE05005400     ,KG69A3          ,2300000
KGE05005400     ,KG69A3          ,3200000
KGE05005600     ,KG68A2          ,3450000
KGE05005700     ,KG68IOT         ,3990000
KGE18004602     ,PT1618          ,9075000
KGE18005701     ,KGE18005701     ,4470000
KGE18005702     ,KGE18005702     ,7230000
KGE18005702     ,KGE18005702     ,7953000
KGE18005800     ,GD1616          ,7370000
KGH03004800     ,KG108A          ,4061200
KGH03004900     ,KG109A          ,6078000
KGH03005500     ,KG100HA         ,5555000
KGH03005500     ,KG100HA         ,5885000
KGH03005502     ,KG100HAVTU      ,5500000
KGH03005502     ,KG100HAVTU      ,5683945
KGH03006600     ,KGMC09          ,3696000
KGH03007000     ,VTUTRANG        ,704000
KGH03007201     ,KG100HPVTU      ,7381000
KGH03007900     ,KG02G3          ,447300
KGH03007900     ,KG02G3          ,700000
KGH03008501     ,KG09A3VTU       ,6150000
KGH03008601     ,KG10A3VTU       ,5913000
KGH03008601     ,KG10A3VTU       ,9405000
KGH03009801     ,KG18BLUEVTU     ,6590000
KGH03010700     ,KG100HG         ,6110000
KGH03010700     ,KG100HG         ,6300000
KGH03010801     ,KG10G4VTU       ,5780000
KGH03011301     ,KG99AVTU        ,3769600
KGH03011500     ,KG100HB         ,5250000
KGH03011501     ,KG100HBVTU      ,5900000
KGH03011601     ,KG09G4VTU       ,5000000
KGH03012000     ,KG06G4          ,4900000
KGH03012801     ,KG100HKVTU      ,9490000
KGH03014200     ,KG100HU+        ,7400000
KGH03014200     ,KG100HU+        ,8690000
KGH03014200     ,KG100HU+        ,8745000
KGH03014400     ,KG10G5VTU       ,7029000
KGH03014800     ,KG08G5VTU       ,5698000
KGH03015200     ,K2358           ,1421310
KGH03015700     ,KG3500AVTU      ,5400000
KGH03015800     ,KG1054LT-5      ,50094000
KGH03016600     ,K3358XVTU       ,1822392
KGH03016700     ,KG100MED        ,12990000
KGH03016900     ,KG-08G4VTU      ,4006400
KGH03017100     ,KG100ES         ,7900000
KGH03017200     ,KG100EO         ,8256000
KGW44007900     ,KG388NC2        ,8490000
KGW44008200     ,KG320IC2        ,7425000
KGW44009300     ,KG265NC1        ,7447000
KGW44009700     ,KG329NC1        ,7200000
KGW44009900     ,KG369CT1        ,11900000
KGW44010300     ,KG399DM1        ,8025000
KGW44010800     ,KG328DM2        ,10043000
KGW44012700     ,KG498KX2        ,5992500
KGW44012700     ,KG498KX2        ,9790000
SPE1800007500   ,SPE1800007500   ,750000
SPH0310400300   ,SPH0310400300   ,240000
SPH0310400400   ,SPH0310400400   ,275000
SPH0355000700   ,SPH0355000700   ,250000
SPH0355000700   ,SPH0355000700   ,280000
SPH0372000600   ,LOI SO 5 - HP   ,240000
KGB47000500     ,KG6102          ,3800000
KGB47002200     ,KG6115          ,3300000
KGB47003000     ,KG6116N         ,2650000
KGB48000200     ,KG6302P         ,1155000
KGB48002300     ,KG6305HN        ,1155000
KGE05001500     ,KG66            ,1980000
KGE05004600     ,KG816           ,2420000
KGE05005300     ,KG69A2N         ,2017500
KGE05005500     ,KG69A3N         ,2390000
KGE05005900     ,KG518N          ,3400000
KGE05005900     ,KG518N          ,3751000
KGE05006300     ,KG68A3          ,3600000
KGE05008100     ,KG72A2          ,1813500
KGE18004701     ,KGE18004701     ,5840000
KGE18005800     ,GD1616          ,5500000
KGE18005900     ,GD1818          ,6000000
KGE18005900     ,GD1818          ,8463000
KGH03002107     ,KG-109VTU       ,4052000
KGH03004800     ,KG108A          ,2775000
KGH03004800     ,KG108A          ,4719000
KGH03004804     ,KG108AVTU       ,3750000
KGH03004804     ,KG108AVTU       ,3890250
KGH03004900     ,KG109A          ,5148000
KGH03006100     ,KG06            ,3670000
KGH03006400     ,KG110A          ,4450000
KGH03006500     ,KG-110          ,5445000
KGH03006600     ,KGMC09          ,3135000
KGH03006900     ,KG02G4          ,4664000
KGH03006901     ,KG02G4VTU       ,4940000
KGH03007200     ,KG100HP         ,5200000
KGH03008501     ,KG09A3VTU       ,7447000
KGH03008601     ,KG10A3VTU       ,6485000
KGH03008601     ,KG10A3VTU       ,7374770
KGH03010401     ,KG100HMVTU      ,5690000
KGH03010401     ,KG100HMVTU      ,6710000
KGH03010601     ,KG19A3VTU       ,7689000
KGH03011500     ,KG100HB         ,5900000
KGH03011500     ,KG100HB         ,6358000
KGH03011501     ,KG100HBVTU      ,8470000
KGH03011800     ,KG08G4          ,4840000
KGH03012000     ,KG06G4          ,4400000
KGH03012000     ,KG06G4          ,4522700
KGH03012801     ,KG100HKVTU      ,9410000
KGH03012901     ,KG108HVTU       ,5995000
KGH03013501     ,KG19G4MKVTU     ,6864000
KGH03013600     ,KG100HU         ,5100000
KGH03013600     ,KG100HU         ,5327650
KGH03013600     ,KG100HU         ,5445700
KGH03014700     ,KG07G4VTU       ,4170000
KGH03017900     ,KG100HK-UVVTU   ,4378000
KGH03023100     ,KG100EED-IOT    ,14850000
KGP01008700     ,KGP01008700     ,12650000
KGW44008700     ,KG400NC2        ,7499250
KGW44009300     ,KG265NC1        ,6800000
KGW44009500     ,KG266NC2        ,0
KGW44010500     ,KG408S2         ,9800000
KGW44011800     ,KG498C2         ,10406000
SPE1808000600   ,SPE1808000600   ,5000000
SPE1857000100   ,SPE1857000100   ,2750000
SPH0310400300   ,SPH0310400300   ,264000
SPH0310400400   ,SPH0310400400   ,280000
SPH0372000900   ,LOI SO 8 - HP   ,308000
KGB47000300     ,KG6100          ,3000000
KGB47000400     ,KG6101          ,4070000
