ma_vt,ma_vt2,gia_nt2
KGH03013501     ,KG19G4MKVTU     ,5076500
KGH03016500     ,K3358BVTU       ,1822392
KGH03016700     ,KG100MED        ,9845000
KGH03017100     ,KG100ES         ,7973000
KGH21152400     ,KGH21152400     ,800000
KGH21209400     ,KGH21209400     ,5000000
KGP01007200     ,KG2209P3        ,8000000
KGW44010300     ,KG399DM1        ,10593000
KGW44010500     ,KG408S2         ,8962500
KGW44010600     ,KG268DM1        ,6262500
KGW44010700     ,KG268DM2        ,7042500
KGW44010700     ,KG268DM2        ,7394625
KGW44010800     ,KG328DM2        ,5990000
SPE1800007300   ,SPE1800007300   ,750000
SPE1800007800   ,SPE1800007800   ,1000000
SPE1859000100   ,SPE1859000100   ,3650000
SPH0310400500   ,SPH0310400500   ,308000
SPH0310400600   ,SPH0310400600   ,250000
SPH0355000500   ,SPH0355000500   ,250000
SPH0372000900   ,LOI SO 8 - HP   ,250000
KGB47000200     ,KG6201          ,2260000
KGB47001200     ,KG6108          ,5280000
KGB47002100     ,KG6130          ,4350000
KGB48000100     ,KG6303P         ,890000
KGB48000300     ,KG6300P         ,770000
KGB48000300     ,KG6300P         ,847000
KGB48001300     ,KG6302          ,650000
KGB48002800     ,KG6305N         ,560000
KGE05001700     ,KG64            ,3100000
KGE05001700     ,KG64            ,3454000
KGE05005200     ,KG69A2          ,2240000
KGE05005200     ,KG69A2          ,2550000
KGE05005300     ,KG69A2N         ,3509000
KGE05005500     ,KG69A3N         ,2242500
KGE05005700     ,KG68IOT         ,0
KGE05006000     ,KG516           ,0
KGE05006000     ,KG516           ,3030000
KGE05007100     ,KG518H          ,2178000
KGE05007800     ,KG588W          ,4598000
KGE05009200     ,KG75A2          ,1650000
KGE05009900     ,KG76A3          ,1800000
KGE18004000     ,DI1616          ,5050000
KGE18004500     ,PT1416          ,7700000
KGE18005700     ,GD1414          ,4800000
KGE18005700     ,GD1414          ,6800000
KGE18005902     ,KGE18005902     ,8570000
KGH03001706     ,KG-114VTU       ,4895000
KGH03002007     ,KG-118VTU       ,5808000
KGH03002107     ,KG-109VTU       ,4762000
KGH03004804     ,KG108AVTU       ,3850000
KGH03004804     ,KG108AVTU       ,5445000
KGH03004900     ,KG109A          ,4250000
KGH03004904     ,KG109AVTU       ,4211000
KGH03004904     ,KG109AVTU       ,4900000
KGH03005200     ,KG100HQ         ,6721000
KGH03005202     ,KG100HQVTU      ,5983100
KGH03005202     ,KG100HQVTU      ,8305000
KGH03005502     ,KG100HAVTU      ,5561600
KGH03006601     ,KGMC09VTU       ,3400000
KGH03006601     ,KGMC09VTU       ,3850000
KGH03006901     ,KG02G4VTU       ,5434000
KGH03007201     ,KG100HPVTU      ,8910000
KGH03007800     ,KG01G3          ,1290000
KGH03008300     ,KG200VN         ,10200000
KGH03008601     ,KG10A3VTU       ,5950000
KGH03009700     ,KG100HCVTU      ,4800000
KGH03009700     ,KG100HCVTU      ,6324464.685
KGH03009801     ,KG18BLUEVTU     ,5800000
KGH03011000     ,KG09            ,3490000
KGH03011600     ,KG09G4          ,4290000
KGH03012001     ,KG06G4VTU       ,4900000
KGH03012801     ,KG100HKVTU      ,6200000
KGH03012801     ,KG100HKVTU      ,8153565
KGH03012801     ,KG100HKVTU      ,9405000
KGH03013400     ,KG10A4VTU       ,8980000
KGH03013501     ,KG19G4MKVTU     ,4154000
KGH03013501     ,KG19G4MKVTU     ,5500000
KGH03014200     ,KG100HU+        ,6800000
KGH03014200     ,KG100HU+        ,9625000
KGH03015700     ,KG3500AVTU      ,4473600
KGH03017100     ,KG100ES         ,8160000
KGH03017400     ,KG100EED        ,12045000
KGH03022300     ,KG10A6S         ,6816000
KGW44001600     ,KG298C2         ,8300000
KGW44009300     ,KG265NC1        ,4867500
KGW44009300     ,KG265NC1        ,6500000
KGW44009900     ,KG369CT1        ,11880000
KGW44010000     ,KG409CT1        ,14278000
KGW44010300     ,KG399DM1        ,9630000
KGW44010500     ,KG408S2         ,10800000
KGW44011700     ,KG608A1         ,15900000
KGW44011900     ,KG398C2         ,8900000
SPH0310400500   ,SPH0310400500   ,280000
SPH0366001600   ,VTUXM           ,792000
SPH0372000700   ,LOI SO 6 - HP   ,280000
